,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,LTIM,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
2023-08-18,2575.115966796875,828.299072265625,4817.14599609375,3089.056396484375,941.5181274414062,4465.17529296875,1458.518798828125,678.5950927734375,844.4453125,150.26824951171875,4418.8701171875,1213.0465087890625,189.03024291992188,3616.138427734375,1160.61279296875,3270.486328125,1770.587158203125,1053.330322265625,774.1953125,622.1089477539062,2680.251708984375,433.81353759765625,2437.788818359375,935.3189086914062,1356.6387939453125,1290.8262939453125,379.09197998046875,778.884765625,349.3738098144531,2572.000732421875,,1529.079345703125,9267.265625,1060.403076171875,201.17767333984375,151.1217498779297,163.20327758789062,1264.5406494140625,1275.9449462890625,542.6273193359375,349.2241516113281,1107.2996826171875,823.6552734375,,110.92611694335938,3085.9208984375,1132.8499755859375,3031.37841796875,8114.98193359375,192.55328369140625
2023-08-21,2637.410888671875,850.3468017578125,4900.9033203125,3107.364990234375,951.0525512695312,4460.62890625,1476.6485595703125,696.99853515625,859.9288330078125,149.9063262939453,4394.94921875,1210.4957275390625,191.23263549804688,3626.37890625,1167.8043212890625,3286.0595703125,1787.8387451171875,1058.3111572265625,773.5870361328125,621.3139038085938,2684.326416015625,443.58544921875,2445.4228515625,939.7955322265625,1382.452392578125,1306.2552490234375,384.37091064453125,786.4549560546875,351.279541015625,2591.76318359375,,1515.193359375,9250.361328125,1070.3294677734375,204.5906524658203,151.768310546875,167.40187072753906,1250.74267578125,1272.0648193359375,541.4434814453125,353.59796142578125,1109.7388916015625,829.4718627929688,,111.97981262207031,3117.58544921875,1140.3817138671875,3059.05419921875,8119.3779296875,193.9096221923828
2023-08-22,2695.6591796875,846.72998046875,4887.9873046875,3104.826171875,955.495361328125,4477.6064453125,1466.1602783203125,699.1494140625,865.5502319335938,147.71339416503906,4396.0693359375,1197.9373779296875,191.77284240722656,3614.50634765625,1170.70849609375,3264.4326171875,1785.268310546875,1058.535400390625,770.2774658203125,631.9481811523438,2707.447265625,444.5231628417969,2448.333251953125,936.6471557617188,1385.7655029296875,1304.7216796875,389.9072265625,786.9002685546875,351.8282775878906,2607.874755859375,,1526.9619140625,9302.4013671875,1069.9215087890625,207.30230712890625,151.85452270507812,167.80821228027344,1250.44482421875,1280.22314453125,538.4127807617188,353.9432678222656,1109.8853759765625,829.7650756835938,,112.60245513916016,3099.7138671875,1135.095458984375,3056.371337890625,8103.7705078125,195.07887268066406
2023-08-23,2528.057861328125,818.1918334960938,4913.77001953125,3094.182861328125,977.6593017578125,4508.90283203125,1468.4576416015625,703.747802734375,856.1812133789062,146.81918334960938,4396.84912109375,1207.4051513671875,191.8974609375,3664.866455078125,1176.2010498046875,3278.68798828125,1777.2110595703125,1061.2279052734375,772.1755981445312,629.314453125,2702.868896484375,455.2821350097656,2456.20556640625,951.2576293945312,1385.6171875,1308.6253662109375,386.6455078125,789.5721435546875,355.210693359375,2645.647705078125,,1519.0341796875,9409.2744140625,1077.5574951171875,207.30230712890625,151.29417419433594,169.0271453857422,1251.8345947265625,1293.6546630859375,546.3682861328125,355.3148498535156,1096.3721923828125,825.6104125976562,,113.94352722167969,3114.469482421875,1123.680908203125,3050.805908203125,8062.67578125,194.213623046875
2023-08-24,2537.2998046875,814.8722534179688,4888.28515625,3149.6455078125,979.755859375,4479.2998046875,1466.9593505859375,705.8245239257812,857.4632568359375,149.565673828125,4426.421875,1197.4468994140625,190.52618408203125,3625.3896484375,1167.0733642578125,3262.723876953125,1757.8338623046875,1051.1312255859375,768.622802734375,626.6310424804688,2680.892578125,450.5935974121094,2463.07568359375,953.3237915039062,1409.5020751953125,1323.171142578125,387.0317687988281,779.6764526367188,355.3902893066406,2616.977294921875,,1518.7879638671875,9382.568359375,1080.5570068359375,206.5075225830078,149.22518920898438,166.7924346923828,1230.7904052734375,1287.187744140625,546.4155883789062,359.7846374511719,1091.103515625,825.268310546875,,113.27298736572266,3104.84619140625,1121.9031982421875,3042.060791015625,8111.57470703125,193.02098083496094
2023-08-25,2493.53857421875,799.2654418945312,4834.185546875,3182.552001953125,981.5030517578125,4434.701171875,1502.2198486328125,713.1473999023438,861.4573974609375,149.13986206054688,4409.85693359375,1186.5565185546875,189.238037109375,3597.933837890625,1141.8040771484375,3262.235595703125,1756.0543212890625,1035.605712890625,759.9598388671875,624.4445190429688,2665.463134765625,444.17767333984375,2446.18603515625,954.7504272460938,1385.7655029296875,1319.918212890625,380.5511779785156,765.0804443359375,354.9712219238281,2568.544677734375,,1496.974365234375,9315.92578125,1077.8172607421875,203.7490997314453,150.60452270507812,163.88047790527344,1225.1075439453125,1289.8243408203125,539.7860717773438,357.6072998046875,1079.3953857421875,813.8795166015625,,111.97981262207031,3098.9345703125,1112.9212646484375,3048.023681640625,7973.32568359375,191.6178741455078
2023-08-28,2470.259033203125,800.1077880859375,4873.87890625,3182.9423828125,988.591552734375,4450.5673828125,1498.224365234375,715.5306396484375,858.350830078125,151.29022216796875,4395.38818359375,1205.6881103515625,190.69241333007812,3594.71826171875,1141.142333984375,3269.265869140625,1764.358642578125,1028.8748779296875,767.868408203125,623.5003662109375,2684.555419921875,440.5255432128906,2438.6953125,954.89794921875,1393.974365234375,1315.7822265625,378.87738037109375,764.9320068359375,357.2660827636719,2623.987060546875,,1525.73095703125,9406.0888671875,1070.334228515625,204.49713134765625,151.03553771972656,168.28224182128906,1212.897705078125,1284.9989013671875,542.5325927734375,357.16607666015625,1089.8350830078125,822.922119140625,,112.65035247802734,3093.6650390625,1108.4769287109375,3029.490234375,8018.9638671875,190.8461456298828
2023-08-29,2504.22900390625,816.0614013671875,4847.00244140625,3208.330322265625,979.10693359375,4512.57861328125,1501.7703857421875,721.2415161132812,843.4097290039062,151.92892456054688,4414.6806640625,1206.5220947265625,191.10792541503906,3618.3154296875,1130.848876953125,3276.1005859375,1781.3138427734375,1038.8365478515625,773.976318359375,631.0040283203125,2736.199951171875,450.1493835449219,2410.498291015625,952.1431274414062,1384.7764892578125,1317.6409912109375,377.76153564453125,774.4812622070312,355.8193054199219,2646.962158203125,,1537.15478515625,9429.1689453125,1071.7210693359375,206.7412872314453,151.46656799316406,170.0767822265625,1201.2838134765625,1290.6201171875,544.4267578125,359.1611633300781,1084.56640625,819.4517211914062,,114.51828002929688,3094.214599609375,1120.8739013671875,3060.147216796875,8100.01708984375,190.86953735351562
2023-08-30,2510.873291015625,811.2554321289062,4843.12744140625,3217.1181640625,981.7526245117188,4522.6884765625,1499.8226318359375,718.7445678710938,845.924560546875,149.86373901367188,4434.216796875,1212.80126953125,190.1106414794922,3592.29443359375,1116.2188720703125,3325.31005859375,1786.1087646484375,1050.45849609375,768.3307495117188,633.1408081054688,2702.960693359375,450.84033203125,2416.03271484375,943.4359130859375,1377.1610107421875,1333.9066162109375,380.0791320800781,778.934326171875,354.1830139160156,2637.275390625,,1559.1654052734375,9600.822265625,1078.30322265625,206.08673095703125,151.50967407226562,167.33416748046875,1200.142333984375,1294.0028076171875,537.37109375,361.43438720703125,1087.7861328125,829.3251953125,,116.96094512939453,3107.779052734375,1120.12548828125,3062.9296875,8165.46142578125,190.44862365722656
2023-08-31,2417.106201171875,784.9964599609375,4783.1162109375,3179.42724609375,971.9186401367188,4463.482421875,1487.2366943359375,708.3511962890625,844.5932006835938,145.00950622558594,4353.29443359375,1233.8460693359375,191.19107055664062,3554.0048828125,1107.940673828125,3257.79345703125,1770.587158203125,1051.9393310546875,764.8023071289062,640.7935180664062,2670.087646484375,453.9002685546875,2390.3642578125,943.2882690429688,1363.01806640625,1334.185302734375,377.418212890625,771.5125732421875,350.96026611328125,2631.142333984375,,1551.4840087890625,9804.0810546875,1068.0003662109375,205.9932098388672,150.13038635253906,165.60733032226562,1194.6578369140625,1285.99365234375,531.6412353515625,369.9134521484375,1084.56640625,815.63916015625,,117.72727966308594,3076.48095703125,1124.5697021484375,3085.04052734375,8196.578125,191.00985717773438
